user_id,movie_id,event,watch_time_min,device,timestamp,rating,user_name,age,gender,location,title,genre,release_year,duration_min,movie_name

lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
96,146,play,76,Mobile,2024-06-11 16:43:13,,Timothy Gross,27,Other,East Jamesland,Final Whisper,Horror,2020,155,Final Whisper
92,37,pause,4,Laptop,2023-07-03 20:55:54,,Christopher Taylor,31,Other,Lake David,Hidden Truth,Thriller,2000,126,Hidden Truth
252,9,stop,70,Mobile,2023-12-20 00:52:50,,Amy Johnson,43,Male,Pearsonview,Last Hour,Sci-Fi,2003,66,Last Hour
230,90,complete,114,Laptop,2023-06-21 06:58:39,3.3,Holly Houston,18,Female,Lake Brandyfurt,Broken Hour,Animation,2003,78,Broken Hour
214,44,play,52,Tablet,2024-01-23 20:08:25,,Christina Bowman,16,Male,Thomasview,Silent Dream,Thriller,1998,94,Silent Dream
108,159,play,105,Desktop,2024-03-22 12:57:36,,Carrie Smith,33,Female,Bellview,Broken Memory,Drama,2017,172,Broken Memory
51,143,stop,8,Laptop,2024-09-16 17:45:19,,Nancy Ramirez,57,Other,Tammyport,Lost Edge,Horror,2023,74,Lost Edge
98,2,play,34,Tablet,2024-10-25 13:11:06,,Suzanne Bell,31,Female,South Vanessa,Bright Memory,Action,2003,154,Bright Memory
267,89,play,118,Laptop,2024-07-27 20:19:50,,Brian Doyle,17,Female,Ellistown,Bright Storm,Horror,1995,150,Bright Storm
147,78,play,96,Tablet,2024-01-14 16:21:17,,Katherine Richards,55,Other,East Edward,Hidden Storm,Thriller,2008,135,Hidden Storm
223,45,complete,97,Desktop,2023-06-04 06:30:01,4.8,Lisa Pham,56,Male,North Diamondshire,Last Hour,Thriller,1995,154,Last Hour
174,191,play,75,Tablet,2024-08-25 06:56:27,,Maria Long,22,Female,West Kimberlystad,Dark Legacy,Sci-Fi,2013,71,Dark Legacy
27,161,complete,138,Laptop,2024-09-21 14:51:10,3.9,Heidi Gardner,21,Other,Lake Stacey,Final Whisper,Action,1998,108,Final Whisper
169,164,pause,31,Tablet,2025-03-16 01:24:56,,Laurie Webster,47,Female,West Jillian,Dark Dream,Comedy,2007,102,Dark Dream
239,164,play,88,Smart TV,2024-09-20 13:31:58,,William Ford,36,Other,West Savannah,Dark Dream,Comedy,2007,102,Dark Dream
159,193,complete,172,Desktop,2023-11-18 03:26:56,3.4,Tyler Fernandez,47,Male,Perrymouth,Eternal Whisper,Comedy,2007,132,Eternal Whisper
32,100,pause,54,Desktop,2024-07-27 21:58:48,,Brenda Underwood,26,Male,New Laura,Infinite Memory,Romance,2009,180,Infinite Memory
298,38,stop,19,Tablet,2024-07-17 22:09:22,,Nichole Gregory,30,Male,South Danielport,Last Edge,Action,2017,95,Last Edge
132,179,play,103,Laptop,2023-07-24 03:18:52,,Sherry Noble,41,Other,Zunigachester,Silent Legacy,Drama,2003,77,Silent Legacy
131,17,complete,158,Mobile,2023-12-12 17:58:50,4.2,Susan Cook,26,Male,East Tara,Last Hope,Horror,2004,113,Last Hope
141,196,pause,111,Tablet,2025-04-26 16:46:27,,Maria Bennett,52,Other,Brownland,Final Whisper,Comedy,2012,137,Final Whisper
146,62,play,120,Tablet,2024-10-30 01:54:12,,Elizabeth Baker,33,Other,Port Deannaview,Final Truth,Comedy,2024,159,Final Truth
263,45,stop,79,Smart TV,2023-08-06 07:57:33,,Yvonne Day,49,Male,Sharonville,Last Hour,Thriller,1995,154,Last Hour
273,62,stop,113,Desktop,2024-08-09 17:07:36,,Jessica Castillo,54,Other,South Emily,Final Truth,Comedy,2024,159,Final Truth
265,110,pause,66,Smart TV,2025-03-31 08:24:25,,Jonathan Brown,34,Other,Lake Richardfurt,Last Hour,Comedy,2006,126,Last Hour
36,90,play,114,Desktop,2023-10-29 08:29:08,,Kevin Peterson,52,Other,North Johnnyfort,Broken Hour,Animation,2003,78,Broken Hour
257,123,pause,37,Smart TV,2023-12-14 15:23:14,,Dustin Trujillo,35,Female,Robertton,Broken Hour,Romance,1999,131,Broken Hour
148,70,pause,45,Desktop,2023-09-27 11:13:07,,Charlene Sanchez,37,Male,Howardchester,Last Truth,Action,2018,104,Last Truth
229,75,play,66,Mobile,2023-11-24 16:23:49,,Wayne Cohen,43,Female,Rhondaburgh,Broken Memory,Comedy,2016,99,Broken Memory
154,52,pause,97,Laptop,2023-09-01 03:22:32,,Tina Rios,43,Female,Elizabethfort,Bright Edge,Drama,2005,98,Bright Edge
44,184,play,73,Desktop,2023-06-20 04:17:45,,Zachary Shelton,29,Other,East Crystaltown,Infinite Truth,Comedy,2008,113,Infinite Truth
19,39,pause,111,Smart TV,2024-02-21 11:28:28,,William Haas,49,Female,Lake Jamesfurt,Silent Truth,Action,1999,116,Silent Truth
67,58,play,73,Desktop,2024-03-09 08:04:48,,Crystal Cobb,42,Female,Thomashaven,Dark Hope,Thriller,2021,167,Dark Hope
87,167,play,82,Laptop,2024-02-18 07:06:54,,Elizabeth Washington,56,Male,Benjaminmouth,Dark Hour,Romance,2014,79,Dark Hour
171,83,pause,22,Tablet,2024-03-10 10:03:34,,Kristen Lynn,36,Female,East Charlotte,Dark Truth,Action,1997,122,Dark Truth
277,174,complete,95,Mobile,2024-02-14 12:52:17,1.7,Eddie Barnes,44,Female,Elizabethhaven,Infinite Shadow,Action,2013,158,Infinite Shadow
206,142,play,42,Mobile,2024-07-10 07:13:39,,Rachel Thomas,22,Other,Port George,Final Edge,Romance,2017,101,Final Edge
149,113,play,53,Smart TV,2023-12-30 11:40:53,,Jennifer Brock,21,Male,East Kathryn,Infinite Shadow,Sci-Fi,2016,158,Infinite Shadow
279,199,play,58,Tablet,2024-08-05 18:28:30,,Oscar Smith,26,Male,East Monica,Lost Truth,Action,2008,166,Lost Truth
24,89,play,81,Laptop,2025-01-08 09:38:00,,Wendy Martinez,29,Male,Jonesmouth,Bright Storm,Horror,1995,150,Bright Storm
66,14,play,33,Desktop,2025-01-17 05:41:44,,Dana Houston,39,Other,New Amandatown,Last Hope,Action,2017,176,Last Hope
145,78,pause,67,Laptop,2025-03-16 13:27:43,,Brian Richardson,45,Other,North Marciaport,Hidden Storm,Thriller,2008,135,Hidden Storm
46,95,complete,68,Tablet,2025-03-08 22:27:53,3.3,Stephanie Cordova,25,Other,Tonyaview,Infinite Truth,Thriller,2014,111,Infinite Truth
154,79,play,83,Desktop,2023-08-25 17:00:53,,Tina Rios,43,Female,Elizabethfort,Last Truth,Thriller,2004,60,Last Truth
64,159,play,15,Desktop,2023-12-30 13:44:00,,Deborah Fernandez,42,Other,West Barbaraport,Broken Memory,Drama,2017,172,Broken Memory
